Edinburgh,691,+0
Dublin,696,+0
Manchester,552,+0
Bristol,503,+0
London (Heathrow),422,+0
Kopenhagen,613,+1
Hamburg,343,+1
Düsseldorf,183,+1
Frankfurt,104,+1
Berlin-Tegel,346,+1
Dresden,400,+1
Prag,291,+1
Warschau,612,+1
Krakau,532,+1
Brüssel,218,+1
Amsterdam,286,+1
München,214,+1
Wien,390,+1
Budapest,514,+1
Nantes,553,+1
Bordeaux,497,+1
Toulouse,484,+1
Nizza,507,+1
Venedig,301,+1
Rom,522,+1
Neapel,624,+1
Brindisi,740,+1
Lamezia Terme,797,+1
Palermo,774,+1
Catania,855,+1
Montpellier,411,+1
Santiago de Compostella,896,+1
Porto,965,+0
Lissabon,1098,+0
Madrid,817,+1
Barcelona,586,+1
Palma de Mallorca,691,+1
Ibiza,762,+1
Alicante,838,+1
Málaga,1050,+1
Sevilla,1057,+1
Faro,1143,+0
Funchal,1705,+0
Casablanca,1325,-1
Marrakesch,1454,-1
Lanzarote,1787,+0
Teneriffa,1907,+0
Gran Canaria,1906,+0
Fuerteventura,1825,+0
Agadir,1572,-1
Djerba,1040,+0
Monastir,910,+0
Constantine,867,+0
Maó,646,+1
Cagliari,660,+1
Olbia,557,+1
Alghero,569,+1
Figari,505,+1
Ajaccio,475,+1
Bastia,436,+1
Calvi,434,+1
Belgrad,638,+1
Debrecen,629,+1
Bukarest,902,+2
Sofia,848,+2
Niš,758,+1
Skopje,807,+1
Split,533,+1
Dubrovnik,652,+1
Hurghada,2028,+1
Scharm asch-Schaich,2005,+1
Tel Aviv,1802,+2
Kutaissi,1712,+3
Antalya,1405,+2
Istanbul,1144,+2
Izmir,1194,+2
Ohrid,810,+1
Kangerlussuaq,2373,-3
Reykjavík,1536,-1
Moskau-Scheremetjewo,1317,+2
Ufa,2046,+4
Ponta Delgada,1844,-1
Aqtöbe,2166,+4
Larnaka,1616,+2
Rhodos,1322,+2
Kos,1264,+2
Mykonos,725,+2
Iraklio,1271,+2
Athen,1090,+2
Korfu,861,+2
Thessaloniki,925,+2
